NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,경기도 수원시 장안구 정자동,313-1,0313,0001,동신2단지,48.23,202505,03,"22,800",202,14,개인,개인,1988,장안로 211,-,중개거래,경기 수원시 장안구,2025.6.4
2,경기도 수원시 장안구 천천동,544,0544,0000,천천삼성래미안,84.99,202505,03,"49,500",104,7,개인,개인,2002,화산로187번길 19,-,중개거래,경기 수원시 장안구,2025.7.2
3,경기도 수원시 장안구 천천동,569,0569,0000,일성,84.85,202505,03,"43,500",502,2,개인,개인,1997,정자로19번길 18,-,중개거래,경기 수원시 장안구,2025.7.30
4,경기도 수원시 영통구 매탄동,810-4,0810,0004,성일,49.68,202505,03,"24,500",206,11,개인,개인,1988,인계로 239,-,중개거래,경기 수원시 영통구,2025.7.31
5,경기도 수원시 장안구 천천동,565,0565,0000,삼호진덕,59.88,202505,03,"33,500",제203,2,개인,개인,1998,하률로46번길 22,-,중개거래,경기 수원시 장안구,2025.7.4
6,경기도 수원시 권선구 금곡동,1078,1078,0000,수원모아미래도센트럴타운1단지,84.8763,202505,03,"69,500",107,18,개인,개인,2017,서수원로577번길 341,-,중개거래,경기 수원시 권선구,2025.7.16
7,경기도 수원시 권선구 금곡동,79,0079,0000,삼익3,59.34,202505,03,"34,400",301,3,개인,개인,1998,서수원로 589,-,중개거래,경기 수원시 권선구,2025.8.28
8,경기도 수원시 권선구 금곡동,252,0252,0000,일신건영(휴먼빌),84.93,202505,03,"44,900",101,10,개인,개인,1998,매곡로 68,-,중개거래,경기 수원시 권선구,2025.7.10
9,경기도 수원시 권선구 호매실동,1388,1388,0000,호매실경남아너스빌,74.93,202505,03,"43,000",-,14,개인,개인,2011,호매실로165번길 70,20250507,중개거래,경기 수원시 권선구,-
10,경기도 수원시 권선구 호매실동,1361,1361,0000,한양수자인파크원,84.9521,202505,03,"60,800",115,13,개인,개인,2018,칠보로 102,-,중개거래,경기 수원시 권선구,2025.6.13
11,경기도 수원시 권선구 호매실동,1352,1352,0000,극동스타클래스,84.97,202505,03,"61,000",906,5,개인,개인,2017,금곡로140번길 73,-,중개거래,경기 수원시 권선구,2026.3.17
12,경기도 수원시 권선구 호매실동,1388,1388,0000,호매실경남아너스빌,74.93,202505,03,"43,000",1504,14,개인,개인,2011,호매실로165번길 70,-,중개거래,경기 수원시 권선구,2025.8.22
13,경기도 수원시 권선구 서둔동,371,0371,0000,센트라우스,59.9246,202505,03,"51,000",109,9,개인,개인,2005,세화로168번길 15,-,중개거래,경기 수원시 권선구,2025.8.4
14,경기도 수원시 장안구 정자동,919,0919,0000,청솔마을한라,59.985,202505,03,"43,900",631,4,개인,개인,2001,만석로20번길 28,-,중개거래,경기 수원시 장안구,2025.7.4
15,경기도 수원시 장안구 정자동,886-1,0886,0001,화서역현대벽산,59.88,202505,03,"40,900",342,7,개인,개인,1999,정자천로188번길 64,-,중개거래,경기 수원시 장안구,2025.6.30
16,경기도 수원시 팔달구 고등동,310,0310,0000,수원역푸르지오자이,74.98,202505,03,"73,000",111동,6,개인,개인,2021,고등로 15,-,중개거래,경기 수원시 팔달구,2025.7.25
17,경기도 수원시 장안구 이목동,916,0916,0000,수원장안힐스테이트,84.992,202505,03,"64,000",209,5,개인,개인,2012,장안로359번길 20,-,중개거래,경기 수원시 장안구,2025.9.5
18,경기도 수원시 장안구 정자동,395,0395,0000,동신1단지,56.71,202505,03,"27,400",103,12,개인,개인,1987,장안로 232,-,중개거래,"경기 수원시 장안구, 인천 미추홀구",2025.7.28
19,경기도 수원시 장안구 정자동,919,0919,0000,청솔마을한라,59.985,202505,03,"43,900",633,4,개인,개인,2001,만석로20번길 28,-,중개거래,경기 수원시 장안구,2025.7.24
20,경기도 수원시 장안구 율전동,322,0322,0000,늘푸른벽산,36.54,202505,03,"22,970",101,14,개인,개인,1998,율전로101번길 40,-,중개거래,경기 수원시 장안구,2025.5.15
21,경기도 수원시 권선구 권선동,1337,1337,0000,수원아이파크시티7단지,75.74,202505,03,"71,600",710,11,개인,개인,2016,덕영대로1190번길 100,-,중개거래,경기 수원시 권선구,2025.9.19
22,경기도 수원시 팔달구 화서동,11월 11일,0011,0011,성원쌍떼빌,84.48,202505,03,"36,500",103,11,개인,개인,2001,장안로5번길 45,-,중개거래,경기 수원시 팔달구,2025.7.2
23,경기도 수원시 팔달구 화서동,650,0650,0000,화서주공5단지,49.99,202505,03,"46,700",501,19,개인,개인,1997,덕영대로697번길 48,-,중개거래,경기 수원시 팔달구,2025.6.30
24,경기도 수원시 팔달구 화서동,743,0743,0000,화서위브하늘채,84.9286,202505,03,"64,300",-,21,개인,개인,2009,수성로244번길 25,20250528,중개거래,경기 수원시 팔달구,-
25,경기도 수원시 팔달구 화서동,743,0743,0000,화서위브하늘채,84.9286,202505,03,"64,300",-,21,개인,개인,2009,수성로244번길 25,-,중개거래,경기 수원시 팔달구,-
26,경기도 수원시 팔달구 화서동,713,0713,0000,꽃뫼버들마을엘지,84.938,202505,03,"57,600",168,12,개인,개인,2001,정자천로32번길 20,-,중개거래,경기 수원시 팔달구,2025.7.28
27,경기도 수원시 영통구 매탄동,810-4,0810,0004,성일,39.99,202505,03,"21,600",201,12,개인,개인,1989,인계로 239,-,중개거래,"경기 수원시 영통구, 경기 수원시 팔달구",2025.7.4
28,경기도 수원시 영통구 매탄동,810-3,0810,0003,삼성1,84.6,202505,03,"42,500",7,10,개인,개인,1988,인계로 219,-,중개거래,경기 수원시 영통구,2025.6.30
29,경기도 수원시 권선구 권선동,1330,1330,0000,권선자이e편한세상,59.963,202505,03,"53,000",134,6,개인,개인,2011,권광로 55,-,중개거래,경기 수원시 권선구,2025.7.16
30,경기도 수원시 장안구 정자동,395,0395,0000,동신1단지,56.71,202505,03,"27,300",106,10,개인,개인,1987,장안로 232,-,중개거래,경기 수원시 장안구,2025.6.16
31,경기도 수원시 영통구 매탄동,1230,1230,0000,매탄레이크파크,49.95,202505,03,"32,000",102,9,개인,개인,1999,매영로 132,-,중개거래,경기 수원시 영통구,2025.10.24
